state,num_colonies,lost colonies
Alabama,7000,1800,,,,
Arizona,35000,4600,,,,
Arkansas,13000,1500,,,,
California,1440000,255000,,,,
Colorado,3500,1500,,,,
Connecticut,3900,870,,,,
Florida,305000,42000,,,,
Georgia,104000,14500,,,,
Hawaii,10500,380,,,,
Idaho,81000,3700,,,,
Illinois,6000,4200,,,,
Indiana,9000,2100,,,,
Iowa,12500,3100,,,,
Kansas,4600,1600,,,,
Kentucky,7500,4100,,,,
Louisiana,51000,8000,,,,
Maine,3100,380,,,,
Maryland,7500,4100,,,,
Massachusetts,2900,1000,,,,
Michigan,16500,11500,,,,
Minnesota,28000,3700,,,,
Mississippi,34000,8500,,,,
Missouri,12000,2000,,,,
Montana,8500,2200,,,,
Nebraska,10000,2600,,,,
New Jersey,6000,1100,,,,
New Mexico,7000,690,,,,
New York,27000,6500,,,,
North Carolina,24000,7000,,,,
North Dakota,57000,620,,,,
Ohio,18000,10500,,,,
Oklahoma,9500,6000,,,,
Oregon,77000,6500,,,,
Pennsylvania,14000,6500,,,,
South Carolina,17000,2700,,,,
South Dakota,50000,4600,,,,
Tennessee,9500,2000,,,,
Texas,191000,26000,,,,
Utah,6000,3300,,,,
Vermont,5500,700,,,,
Virginia,8000,2500,,,,
Washington,52000,14000,,,,
West Virginia,4700,1800,,,,
Wisconsin,16500,8000,,,,
Wyoming,5500,2000,,,,
