state,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Alabama,6,7,7,7,7,7,8,9,9,9,9,11,11,13,12,13
Arizona,24,22,27,26,26,29,22,23,24,20,25,30,30,36,32,35
Arkansas,28,29,24,24,21,22,25,22,25,24,28,28,32,36,40,40
California,335,335,310,275,320,330,330,370,410,355,360,340,380,400,390,480
Colorado,31,33,32,29,27,26,25,31,34,28,27,31,36,28,23,24
Florida,215,205,215,220,245,220,193,180,200,170,150,160,170,160,205,210
Georgia,98,99,96,69,73,67,59,65,55,65,65,60,63,59,63,52
Hawaii,17,19,16,14,15,13,10,9,10,10,10,10,10,9,8,7
Idaho,96,95,97,89,100,83,92,87,97,103,90,92,95,95,100,100
Illinois,11,11,10,8,8,7,7,7,9,8,8,9,10,8,7,7
Indiana,7,8,7,6,5,6,8,8,10,9,7,8,6,8,7,5
Iowa,38,35,37,36,35,39,37,25,27,26,24,26,26,28,35,32
Kansas,5,7,7,8,7,6,6,7,9,9,10,14,14,16,14,16
Kentucky,4,5,5,5,5,3,5,4,5,5,4,4,5,5,5,5
Louisiana,45,43,50,44,48,50,41,36,36,37,40,29,30,35,35,34
Maine,12,12,12,10,8,7,4,4,5,6,7,9,11,8,7,8
Michigan,97,87,89,90,91,85,73,74,71,66,71,72,72,65,65,65
Minnesota,119,126,124,122,132,130,125,120,128,122,122,130,125,120,135,120
Mississippi,20,18,19,15,20,17,18,18,16,14,14,15,14,16,18,21
Missouri,9,8,8,10,12,10,7,8,11,11,11,14,15,15,16,17
Montana,160,145,159,146,162,159,145,145,157,146,134,135,132,130,140,145
Nebraska,40,42,48,57,50,46,43,41,41,48,36,45,47,40,51,45
New Jersey,13,13,12,12,12,11,14,11,13,11,10,10,9,12,14,6
New York,56,57,64,58,60,55,5,7,7,7,9,9,9,12,12,10
North Carolina,10,11,12,12,12,10,51,49,45,45,50,53,60,60,64,67
North Dakota,550,455,485,490,490,480,480,460,510,450,400,420,350,370,390,340
Ohio,14,15,15,17,15,17,18,15,18,11,14,14,14,15,16,15
Oregon,93,78,74,71,71,62,60,60,59,55,50,46,46,39,42,42
Pennsylvania,19,16,19,17,17,13,16,24,30,21,23,25,28,28,30,27
South Carolina,16,16,16,14,9,,,,,,,,,,,
South Dakota,255,255,280,290,280,265,260,250,265,270,225,255,225,220,215,215
Tennessee,7,7,6,7,7,7,6,7,8,7,7,7,7,7,6,6
Texas,132,120,133,126,116,106,92,78,100,89,77,105,82,84,116,140
Utah,26,27,31,27,29,30,25,23,26,26,28,28,23,23,23,25
Vermont,7,7,6,5,3,3,4,4,4,5,5,5,6,6,6,7
Virginia,4,6,5,6,6,5,4,4,5,6,6,6,8,8,7,6
Washington,77,77,84,73,68,69,62,71,71,62,49,46,49,51,56,58
West Virginia,6,6,5,5,6,6,6,4,5,5,6,6,5,8,9,8
Wisconsin,51,53,54,52,53,59,50,35,34,37,58,60,64,64,68,74
Wyoming,39,39,40,38,38,47,30,25,26,26,39,43,39,40,39,39
