state,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Alabama,45,45,52,47,53,52,54,50,54,50,66,56,72,66,87,82
Arizona,38,40,46,49,39,36,46,53,77,52,64,64,65,50,55,72
Arkansas,50,68,69,72,65,60,63,64,60,57,75,80,76,69,57,75
California,41,41,36,30,39,33,35,48,67,33,51,40,52,75,45,67
Colorado,48,43,40,51,37,43,48,55,56,53,45,51,75,70,80,86
Florida,49,43,50,54,60,61,64,61,69,68,79,71,81,86,98,71
Georgia,34,32,39,40,62,50,51,43,46,41,71,58,74,49,49,65
Hawaii,103,131,113,102,93,83,75,74,77,95,90,92,93,131,96,114
Idaho,31,44,34,32,34,32,32,36,27,46,40,41,44,37,63,46
Illinois,41,46,48,51,49,48,61,50,41,34,56,63,66,85,55,60
Indiana,46,52,62,53,62,47,59,51,43,32,62,81,84,88,67,56
Iowa,49,58,48,50,43,48,61,62,49,42,61,40,55,50,80,59
Kansas,73,79,48,36,75,46,55,44,52,63,39,61,56,50,56,57
Kentucky,41,38,46,46,47,41,51,39,67,35,77,89,90,97,98,48
Louisiana,83,81,86,99,84,98,86,77,80,103,42,26,23,26,31,90
Maine,32,33,34,47,47,43,34,30,41,50,73,64,55,68,67,33
Michigan,44,45,60,58,63,55,57,64,58,60,78,68,80,74,75,74
Minnesota,61,62,59,68,60,58,67,53,66,65,98,92,98,80,65,83
Mississippi,87,86,85,83,112,116,118,115,98,104,53,46,46,50,41,69
Missouri,45,65,62,52,47,47,53,43,52,47,70,68,79,67,77,53
Montana,92,72,77,83,88,94,52,92,74,70,29,28,37,46,55,66
Nebraska,59,63,46,48,75,60,65,59,55,56,40,57,36,32,27,74
New Jersey,31,28,27,27,30,44,33,41,35,32,48,59,48,49,44,64
New York,48,56,57,62,55,48,52,56,66,60,70,57,64,73,67,19
North Carolina,33,41,37,45,43,38,51,56,64,65,52,45,50,54,40,72
North Dakota,72,74,78,74,86,69,39,62,46,45,90,74,74,91,78,44
Ohio,73,73,79,50,61,45,69,71,91,77,53,61,56,69,58,87
Oregon,35,40,35,38,40,35,60,66,62,50,43,43,48,42,54,50
Pennsylvania,44,46,50,53,46,45,32,34,39,34,48,,,56,54,51
South Carolina,48,34,45,67,54,,60,44,37,40,,,,,,50
South Dakota,47,57,71,66,87,56,63,66,58,66,95,42,40,79,105,70
Tennessee,46,41,55,59,63,45,61,44,63,51,64,52,47,71,76,40
Texas,56,66,70,66,78,59,52,58,72,63,48,82,70,45,70,67
Utah,41,31,32,42,28,34,38,39,30,38,66,42,50,91,68,57
Vermont,48,54,52,52,58,51,60,43,65,49,42,64,56,37,38,83
Virginia,40,35,38,38,41,35,41,40,37,39,44,46,42,55,63,37
Washington,43,45,35,44,44,39,41,38,37,44,43,44,52,83,86,56
West Virginia,37,40,32,35,31,46,48,53,40,37,80,48,42,56,75,47
Wisconsin,45,56,62,67,54,60,69,63,64,60,61,84,93,,,77
Wyoming,56,53,68,77,61,66,51,54,36,48,,80,85,,,81
